raceId,name,lap_time_x,lap_time_y
900,Australian Grand Prix,26.27906687336605,100.36624498416052
901,Malaysian Grand Prix,7.265143497418646,110.0750418367347
902,Bahrain Grand Prix,10.810877333262752,105.86346540880503
903,Chinese Grand Prix,4.914467255839042,105.91076403508771
904,Spanish Grand Prix,4.208738221763068,93.87615503306392
905,Monaco Grand Prix,11.143044948438718,86.1130328125
906,Canadian Grand Prix,13.728243455862582,86.27266950596253
907,Austrian Grand Prix,4.304587955071151,75.59987749483827
908,British Grand Prix,524.1702629372309,180.68168260869564
909,German Grand Prix,7.127409485030426,85.53587099236641
910,Hungarian Grand Prix,14.496344491166123,98.85557259380099
911,Belgian Grand Prix,4.6720954395110565,117.31494172494173
912,Italian Grand Prix,3.7579156422595954,91.25794926199262
913,Singapore Grand Prix,13.827566728581477,121.15202892199824
914,Japanese Grand Prix,176.06785088570172,155.86839273927393
915,Russian Grand Prix,4.136016949929723,105.79680097087379
916,United States Grand Prix,12.5560966191372,108.86456807511736
917,Brazilian Grand Prix,4.350260225328237,77.14511210398051
918,Abu Dhabi Grand Prix,4.607339274109517,109.71498616600792
926,Australian Grand Prix,11.83811110409774,97.06215504978664
927,Malaysian Grand Prix,10.087015461297007,110.6299161358811
928,Chinese Grand Prix,7.958283224699286,107.99315316205534
929,Bahrain Grand Prix,5.85068945854303,102.14304612365063
930,Spanish Grand Prix,4.380282962113631,94.36614251207729
931,Monaco Grand Prix,9.92189834003149,84.53203079076278
932,Canadian Grand Prix,3.629384603238227,80.39610743801653
933,Austrian Grand Prix,13.698689725714742,78.20728342749528
934,British Grand Prix,13.336568353448248,108.00161165048543
936,Hungarian Grand Prix,11.124141493246679,93.50993267023719
937,Belgian Grand Prix,11.190086797875205,119.29594565217393
938,Italian Grand Prix,4.20050975744396,90.37770695187166
939,Singapore Grand Prix,16.17013730508965,121.01776029962546
940,Japanese Grand Prix,5.871595004210473,101.99142802303263
941,Russian Grand Prix,17.926612580784074,111.65881014150943
942,United States Grand Prix,16.32503246268115,120.26210513739545
943,Mexican Grand Prix,9.041321391031037,87.33540919904837
944,Brazilian Grand Prix,3.936720646213776,78.78546194423512
945,Abu Dhabi Grand Prix,4.989419358616305,109.68411519845112
948,Australian Grand Prix,146.7724455218183,115.6142831858407
949,Bahrain Grand Prix,5.3022080439714045,100.44944710578842
950,Chinese Grand Prix,11.237103291768038,107.72079067865904
951,Russian Grand Prix,14.246264418631444,107.19569886947585
952,Spanish Grand Prix,8.38183304419569,93.99002998379254
953,Monaco Grand Prix,18.679766331694573,95.72884008843036
954,Canadian Grand Prix,4.253487497775805,79.7537359591539
955,European Grand Prix,4.466056810265245,111.34816147859922
956,Austrian Grand Prix,10.50116683113279,74.94618290960452
957,British Grand Prix,24.82348626396623,113.4897731958763
958,Hungarian Grand Prix,3.6954627865370657,87.8485612177366
959,German Grand Prix,3.6789204009396914,82.80056073446328
960,Belgian Grand Prix,153.1005939470112,144.2890939153439
961,Italian Grand Prix,26.314653127920472,90.42914215686275
962,Singapore Grand Prix,11.702367686809948,116.02570951156812
963,Malaysian Grand Prix,11.854730632615844,105.91861442307692
964,Japanese Grand Prix,3.881156196102315,99.93042943722944
965,United States Grand Prix,7.360823062482547,107.48171150278293
966,Mexican Grand Prix,6.769120584435187,86.32261189993238
967,Brazilian Grand Prix,292.3327600297868,153.65555417956656
968,Abu Dhabi Grand Prix,4.641017681364329,108.47996230158729
969,Australian Grand Prix,8.234998513014299,91.10588853503185
970,Chinese Grand Prix,19.170568596369943,107.36767552602436
971,Bahrain Grand Prix,10.909372753451885,100.05630734463276
972,Russian Grand Prix,11.950145581907691,103.80556400966184
973,Spanish Grand Prix,7.864069131402841,89.56600631768953
974,Monaco Grand Prix,8.84585487699815,80.75166831683168
975,Canadian Grand Prix,11.289550555607741,81.12652133105802
976,Azerbaijan Grand Prix,197.29703809609686,149.32475
977,Austrian Grand Prix,3.156361665707229,70.44501169590643
